"Lon" "Lat" "ATbiome"
-50.5 -17.5 1
21.5 8.5 1
-91.5 35.5 4
-48.5 -0.5 1
148.5 -20.5 4
23.5 48.5 2
90.5 45.5 6
67.5 34.5 3
99.5 9.5 1
114.5 -25.5 6
46.5 6.5 6
-55.5 -29.5 2
43.5 45.5 4
146.5 -30.5 6
4.5 44.5 2
-106.5 52.5 3
51.5 65.5 3
29.5 -24.5 4
67.5 40.5 4
-110.5 57.5 3
104.5 14.5 1
138.5 52.5 3
90.5 26.5 2
74.5 25.5 4
36.5 34.5 4
18.5 6.5 1
35.5 -21.5 4
92.5 59.5 3
-111.5 46.5 3
30.5 9.5 4
-49.5 -12.5 4
21.5 55.5 2
22.5 2.5 1
-50.5 -5.5 1
51.5 50.5 3
64.5 45.5 5
32.5 -19.5 4
-63.5 -29.5 4
95.5 20.5 4
-46.5 -15.5 4
-65.5 -25.5 4
-67.5 -11.5 1
-121.5 59.5 3
31.5 -3.5 1
23.5 -5.5 1
-95.5 42.5 3
104.5 55.5 3
118.5 44.5 3
41.5 5.5 4
-91.5 33.5 5
87.5 59.5 3
-134.5 61.5 3
143.5 -15.5 4
-134.5 58.5 3
133.5 54.5 3
62.5 61.5 3
16.5 5.5 1
-75.5 -7.5 1
41.5 -0.5 6
-91.5 41.5 4
-109.5 31.5 6
21.5 9.5 4
114.5 24.5 5
32.5 46.5 5
-72.5 5.5 1
128.5 -15.5 4
-49.5 -3.5 1
-70.5 -9.5 1
50.5 65.5 3
77.5 54.5 3
21.5 -7.5 1
71.5 25.5 5
38.5 -5.5 1
37.5 35.5 6
16.5 58.5 2
148.5 -40.5 2
74.5 42.5 3
21.5 44.5 2
85.5 54.5 3
29.5 -2.5 1
146.5 -25.5 6
-79.5 48.5 3
72.5 41.5 5
44.5 27.5 6
10.5 15.5 6
-77.5 45.5 3
-106.5 35.5 3
61.5 53.5 3
-64.5 -34.5 4
7.5 18.5 6
-84.5 47.5 3
139.5 35.5 2
39.5 11.5 4
32.5 39.5 4
-59.5 -15.5 1
47.5 27.5 6
-7.5 33.5 5
78.5 59.5 3
41.5 56.5 3
-100.5 18.5 4
31.5 2.5 1
140.5 51.5 3
-62.5 9.5 1
27.5 5.5 1
118.5 37.5 4
-154.5 61.5 3
-41.5 -18.5 1
158.5 53.5 6
44.5 26.5 6
-123.5 55.5 3
61.5 57.5 3
18.5 -13.5 4
37.5 13.5 4
23.5 -9.5 1
12.5 65.5 3
146.5 -6.5 1
-108.5 52.5 3
114.5 42.5 6
-76.5 48.5 3
31.5 67.5 3
-119.5 61.5 3
125.5 45.5 3
25.5 -16.5 4
36.5 37.5 4
-96.5 50.5 3
34.5 38.5 4
136.5 53.5 3
54.5 57.5 3
23.5 54.5 2
75.5 44.5 4
-79.5 35.5 2
12.5 59.5 2
-77.5 -4.5 1
38.5 40.5 2
87.5 28.5 6
52.5 52.5 3
85.5 48.5 3
115.5 31.5 2
-121.5 46.5 3
-4.5 6.5 1
20.5 14.5 6
46.5 47.5 4
134.5 -13.5 6
-111.5 33.5 6
34.5 41.5 2
-86.5 39.5 2
-106.5 48.5 3
44.5 54.5 3
56.5 38.5 6
108.5 35.5 4
16.5 -0.5 1
82.5 25.5 4
-54.5 -19.5 1
-60.5 8.5 1
-58.5 3.5 1
-68.5 49.5 3
35.5 -6.5 4
-74.5 -14.5 6
144.5 43.5 3
-115.5 39.5 3
80.5 45.5 3
116.5 31.5 2
28.5 9.5 4
63.5 53.5 3
136.5 36.5 2
-74.5 49.5 3
18.5 -17.5 6
95.5 17.5 1
29.5 -21.5 6
93.5 48.5 6
42.5 51.5 5
53.5 49.5 3
-122.5 52.5 3
20.5 31.5 6
15.5 5.5 1
-85.5 37.5 2
30.5 -17.5 4
-9.5 29.5 6
17.5 62.5 3
95.5 18.5 1
27.5 65.5 3
-106.5 40.5 3
37.5 59.5 3
-91.5 14.5 1
82.5 48.5 3
-5.5 36.5 4
20.5 45.5 4
26.5 -15.5 4
15.5 -11.5 1
77.5 13.5 4
29.5 46.5 5
49.5 -12.5 4
117.5 52.5 3
0.5 41.5 4
32.5 -26.5 1
141.5 -7.5 1
-93.5 43.5 4
71.5 24.5 4
26.5 -25.5 4
144.5 -34.5 6
-95.5 43.5 4
-53.5 -15.5 1
-106.5 50.5 3
-126.5 59.5 3
13.5 -2.5 1
-73.5 41.5 2
-0.5 11.5 4
8.5 45.5 2
41.5 57.5 3
-65.5 -2.5 1
11.5 15.5 6
-102.5 29.5 6
13.5 54.5 2
46.5 54.5 3
176.5 -39.5 2
-114.5 58.5 3
-122.5 46.5 2
33.5 -10.5 4
-116.5 59.5 3
72.5 24.5 4
106.5 53.5 3
16.5 49.5 2
59.5 29.5 6
67.5 55.5 3
42.5 22.5 6
-107.5 49.5 3
-96.5 36.5 4
53.5 61.5 3
-64.5 -40.5 4
-99.5 19.5 2
70.5 46.5 5
24.5 -31.5 6
93.5 20.5 1
34.5 11.5 4
-85.5 51.5 3
19.5 43.5 2
132.5 43.5 3
18.5 65.5 3
-100.5 30.5 4
8.5 35.5 6
123.5 -19.5 6
73.5 44.5 4
45.5 50.5 5
45.5 46.5 4
28.5 53.5 2
51.5 61.5 3
91.5 58.5 3
27.5 2.5 1
101.5 25.5 5
29.5 -0.5 1
138.5 -32.5 6
-110.5 47.5 4
44.5 56.5 3
-47.5 -24.5 1
68.5 38.5 4
-63.5 -28.5 4
58.5 29.5 6
36.5 15.5 6
122.5 46.5 3
23.5 -4.5 1
55.5 45.5 6
114.5 0.5 1
22.5 1.5 1
-67.5 51.5 3
-76.5 -7.5 1
13.5 11.5 4
-47.5 -5.5 4
40.5 53.5 2
20.5 7.5 1
-68.5 -8.5 1
38.5 1.5 6
71.5 40.5 6
-1.5 7.5 1
49.5 22.5 6
29.5 -31.5 2
-73.5 44.5 2
-105.5 35.5 3
101.5 37.5 6
138.5 53.5 3
-59.5 4.5 1
117.5 43.5 3
36.5 2.5 6
-53.5 -22.5 1
134.5 47.5 3
-76.5 2.5 2
17.5 -4.5 1
-6.5 11.5 4
96.5 47.5 6
104.5 57.5 3
45.5 41.5 4
36.5 6.5 1
-46.5 -12.5 4
43.5 60.5 3
25.5 3.5 1
115.5 37.5 4
129.5 -22.5 5
-82.5 46.5 3
-107.5 47.5 4
100.5 19.5 1
46.5 52.5 3
-66.5 50.5 3
50.5 25.5 6
-74.5 46.5 3
36.5 51.5 2
132.5 47.5 3
-96.5 39.5 3
-38.5 -8.5 6
68.5 36.5 6
35.5 56.5 2
31.5 49.5 2
-81.5 52.5 3
110.5 50.5 3
76.5 10.5 1
110.5 48.5 3
38.5 13.5 4
32.5 -12.5 4
-9.5 10.5 1
133.5 46.5 3
6.5 43.5 2
77.5 21.5 4
-61.5 -38.5 2
5.5 52.5 2
113.5 46.5 6
19.5 9.5 4
78.5 52.5 3
104.5 36.5 6
-3.5 10.5 4
-127.5 54.5 3
33.5 55.5 2
-63.5 5.5 1
11.5 14.5 6
-10.5 8.5 1
116.5 -1.5 1
-95.5 16.5 4
-115.5 43.5 5
45.5 40.5 2
-78.5 37.5 2
33.5 -17.5 4
29.5 -29.5 2
41.5 62.5 3
99.5 58.5 3
-52.5 -19.5 4
-69.5 -35.5 4
-122.5 61.5 3
19.5 -30.5 6
115.5 -2.5 1
25.5 -8.5 1
-101.5 39.5 3
106.5 26.5 2
-7.5 52.5 2
25.5 -23.5 5
-59.5 -38.5 2
127.5 49.5 3
122.5 45.5 3
116.5 42.5 3
25.5 -12.5 1
37.5 -0.5 1
-68.5 -1.5 1
-62.5 -23.5 4
-52.5 -12.5 1
25.5 57.5 2
135.5 49.5 3
1.5 11.5 4
132.5 -14.5 4
40.5 56.5 2
-69.5 -38.5 4
34.5 64.5 3
-52.5 -14.5 1
-77.5 34.5 2
-68.5 -42.5 4
75.5 21.5 4
111.5 47.5 6
79.5 12.5 4
37.5 60.5 3
-84.5 11.5 1
-115.5 56.5 3
