"Lon" "Lat" "newFPU"
30.5 -14.5 6079
33.6764705882353 14.6764705882353 6080
26 -20 6081
27.5 31 6082
27.8333333333333 -18.8333333333333 6083
30.3 -22.7 6084
30 -21.5 6085
31 31.5 6086
31.8333333333333 -21.1666666666667 6087
32.8333333333333 -22.8333333333333 6088
33.5 -21.5 6089
33.5 35.5 6090
34.5 3.5 6091
34.5 31.5 6092
38.5555555555556 1.11111111111111 6093
35.5 30.5 6094
35.5 31.5 6095
51.5 25.5 6096
36.5 33.5 6097
42.9 7.6 6098
37.8333333333333 16.1666666666667 6099
46.2297297297297 25.6351351351351 6100
38.25 35.75 6101
40.5 37.5 6102
5.8 12.3 6103
40.9 13.3 6104
43.8636363636364 2.77272727272727 6105
42.5 11.5 6106
43.7307692307692 34.8846153846154 6107
44.5 14.9545454545455 6108
44 32 6109
44.5 -22 6110
58.4090909090909 27.7272727272727 6111
46.5 44.5 6112
48.5 28.5 6113
47.5 45.5 6114
49 31.5 6115
49.5 39.5 6116
54.0333333333333 44.3 6117
51.5 47.5 6118
55.1666666666667 23.8333333333333 6119
57.5 23.3333333333333 6120
56 38.5 6121
54.5 40.5 6122
56.5 43.5 6123
63.9444444444444 31.7777777777778 6124
64.7857142857143 27.1428571428571 6125
66.8333333333333 53.1666666666667 6126
70.5 34.5 6127
68.9117647058823 27.8529411764706 6128
68.5 37.5 6129
68.5 41.5 6130
72.5 46 6131
8 17.5 6132
70.8333333333333 27.1666666666667 6133
74.5 26.5 6134
72 29.5 6135
71.5 40.5 6136
74.5 44.5 6137
76.5 26.5 6138
86.0714285714286 45.6428571428571 6139
83.5 29.5 6140
80.5 26.5 6141
80.5 32.5 6142
89 28.5 6143
88.8333333333333 46.8333333333333 6144
87.5 28.5 6145
89 50.5 6146
90.5 50.5 6147
-128.5 58.5 7001
-145 62.5 7002
160.166666666667 54.8333333333333 7003
16.3 68.1 7004
68.5 54.5 7005
-143 61.5 8001
-68.5 -26.5 8002
116.5 -28.5 8003
128.5 -16.5 8004
