"LON" "LAT" "FPU_code" "LONLAT"
35.5 5.5 157 "35.5/5.5"
25.5 -10.5 60 "25.5/-10.5"
77.5 57.5 174 "77.5/57.5"
15.5 10.5 119 "15.5/10.5"
-100.5 23.5 139 "-100.5/23.5"
143.5 -18.5 49 "143.5/-18.5"
-102.5 26.5 199 "-102.5/26.5"
-67.5 -37.5 198 "-67.5/-37.5"
124.5 54.5 19 "124.5/54.5"
-65.5 -34.5 213 "-65.5/-34.5"
114.5 51.5 19 "114.5/51.5"
141.5 39.5 1120 "141.5/39.5"
30.5 55.5 23 "30.5/55.5"
-63.5 -31.5 213 "-63.5/-31.5"
145.5 -20.5 772 "145.5/-20.5"
-75.5 39.5 244 "-75.5/39.5"
